Identificador	Nome	Nome da Mae	Nascimento	Sexo	CPF
ID_000000212	ANIBALDO VANCARLOS SALAZAR DUARTE ROCHA	LADIVANIA DA ROSA SALAZAR	28-08-1943	M	112.517.590-76
ID_000000213	SIDARIA SOUSA CALIXTO DA PAZ	LUCIANA SOUZA PORTO CALIXTO	04-12-1905	F	620.873.931-41
ID_000000214	PATRIQUE DOS REIS	OSIMEIRE DAS NEVES DOS REIS	19-12-1930	M	160.548.572-15
ID_000000215	GISNALDO SILVA FIGUEIREDO	MARNALVA CALDEIRA PIRES SILVA	22-11-1952	M	456.471.327-23
ID_000000216	GERMAN ROCHA	JOSCILENE NOVAES ROCHA	11-07-1993	M	713.687.927-23
ID_000000217	JOVENILDES MEIRELES CASTRO	CIDA BOAVENTURA OLIVEIRA MEIRELES	22-02-1905	F	253.611.027-33
ID_000000218	DALILA DA COSTA SOUSA	SABELE MEIRELES FARIAS DA COSTA	28-08-2013	F	183.328.004-04
ID_000000219	ISMAILDE PINHEIRO SANTOS	CLAUDERLANIA MOREIRA LACERDA PINHEIRO	21-02-2018	F	657.898.373-28
ID_000000220	NAIRE SALGUEIRO	FLAVILENE BOTELHO SALGUEIRO	12-05-1979	F	414.035.069-57
ID_000000221	DIANDA DOMINGUES CASTRO	LIRETE ZAGALO PARAISO DOMINGUES	14-12-1911	F	923.713.846-66
ID_000000222	OTACIANO ROSINEI FERREIRA GENTIL OURIQUE	LORIDA FERNANDES FERREIRA	09-08-1958	M	061.475.670-71
ID_000000223	SEAN GERALDES MUNIZ	COSTODIA MORGADO PARIS GERALDES	09-04-1920	M	514.529.030-69
ID_000000224	SEBASTANA SILVA CORTE REAL	JODEILDE ARAUJO BRITO SILVA	12-06-1908	F	765.595.657-00
ID_000000225	CLAUDENICIA RIVAN SOUZA SILVA ALVIM	TAIUANA GUEDES SOUZA	10-12-2002	F	222.707.053-60
ID_000000226	EDIARA DA COSTA CAMILO	DILENE LEIRIA PEREIRA DA COSTA	04-11-1921	F	730.175.247-44
ID_000000227	EVERTI PILAR MESQUITA SOUSA	LUZILETE SALGUEIRO CRESPO MESQUITA	14-11-1907	M	071.179.742-06
ID_000000228	TAISMARA FIGUEIREDO MOREIRA GERALDES	JORA CARDOSO SOUZA MOREIRA	07-08-1952	F	276.700.179-88
ID_000000229	FLORESMAR ORNELAS CAMPOS DAS NEVES	SAINARA OURIQUE CASTRO CAMPOS	15-03-1917	F	005.413.824-89
ID_000000230	ANECLETO GOULART	EZILVA SOUSA GOULART	03-01-1912	M	203.386.072-85
ID_000000231	DAZILMA SILVA XAVIER	ARLECIA BAPTISTA EVANGELISTA SILVA	28-07-1953	F	267.823.408-87
ID_000000232	LEDUARDO PINTO PARIS	MAVIONE PERALTA GERALDES PINTO	21-01-1908	M	391.039.427-24
ID_000000233	EUGENIA DIRLEINE DANTAS NOVAIS PEREIRA	CHALENE HILARIO DANTAS	18-03-1948	F	855.122.964-85
ID_000000234	ZAIDAN ALEGRIA GOUVEIA	VALDELUCE ARAUJO DA CUNHA ALEGRIA	09-02-1926	M	551.372.404-94
ID_000000235	JAVES MAIA	CRISLAINY PEREIRA MAIA	04-05-1950	M	047.483.608-87
ID_000000236	JUNEA BOTELHO SAMPAIO VARGAS	DENISIA TAVEIRA PACHECO SAMPAIO	16-02-1921	F	436.322.727-35
ID_000000237	ALZILEIDE CARVALHO	YURIKA XISCO CARVALHO	17-01-1962	F	313.393.288-87
ID_000000238	ROSIMELI JESUS LEIRIA QUARTEIRA	CECIMARA JESUS BARBOSA LEIRIA	02-04-1921	F	419.250.139-28
ID_000000239	JAIR BERNARDES	NADIME XISCO BERNARDES	04-07-1901	F	400.626.320-19
ID_000000240	JOTANAEL MAGALHAES DA CRUZ	ADIGINA FERRARI BARRETO MAGALHAES	13-11-1950	M	729.536.296-70
ID_000000241	CLEID ESTEVES FARIAS VIEIRA	FRANCISJANE ALEGRIA NASCIMENTO FARIAS	06-11-2004	M	910.273.502-40
ID_000000242	JOANADARC GOUVEIA ARAUJO RAMIRES	MARIQUITA GARCIA GERALDES ARAUJO	13-11-1920	F	417.531.329-08
ID_000000243	EWALD ALEGNA HILARIO SOUZA DOMINGUES	JOEDMA XIMENES HILARIO	25-11-1919	M	048.615.600-12
ID_000000244	ARLECIO FERNANDES DAS NEVES GOMES	ORILDES ARRUDA ALMADA DAS NEVES	24-11-1910	M	633.309.258-41
ID_000000245	ROS SOUSA MENEZES	JOSIRA MALDONADO VELOSO SOUSA	28-11-1915	F	612.452.104-08
ID_000000246	VALDECLECIA GONZAGA	VIGNA ZANETTE GONZAGA	10-10-1992	F	444.056.172-10
ID_000000247	DEUCIMAR MOURA	KATIUSCIA VELOSO MOURA	06-02-1990	M	664.969.372-30
ID_000000248	DEUCINEIA SOUZA	VALMICEIA PIMENTA SOUZA	11-12-1909	F	610.622.854-09
ID_000000249	ADAZIZA BITTENCOURT ARAUJO	JORJA MARTINS PACHECO BITTENCOURT	09-04-1953	F	871.259.251-03
ID_000000250	SILEIA FIGUEIREDO ARRUDA	VALDEIDES NOVAES BARBOSA FIGUEIREDO	03-06-1931	F	191.819.202-29
ID_000000251	GIOVA PAIVA PARAISO FERREIRA	MARONILDE DAS NEVES DUARTE PARAISO	01-04-2001	M	047.573.876-44
ID_000000252	MILADY GENTIL	CELSI SILVA GENTIL	27-12-1971	F	817.212.145-85
ID_000000253	FLANKLIN BARROS	MINA FLORES BARROS	05-07-1971	M	868.558.865-07
ID_000000254	VERIANE CAPELO TAVARES	ADUA PARIS CURADO CAPELO	20-03-1983	F	292.518.666-19
ID_000000255	ABISAGUE LOPES CUSTODIO	ESTANE MORGADO RIBEIRO LOPES	18-03-1941	F	506.341.233-51
ID_000000256	MONIZZE PERES	JOSSINETE MARQUES PERES	12-06-1985	F	174.279.032-18
ID_000000257	MARCONIEDSON ANDRADE GUEDES PEIXOTO	RAIGILA DA CUNHA BELCHIOR GUEDES	17-07-1972	M	365.275.116-71
ID_000000258	ROSANGELI MESQUITA	ROMILA ALVES MESQUITA	01-12-1943	F	531.307.369-99
ID_000000259	DJINANE SILVA	HERIQUETA QUARESMA SILVA	25-01-1918	F	256.238.525-05
ID_000000260	AURIEDNA ARAUJO VEIGA	JOCIVALDA DA ROCHA SOUZA ARAUJO	24-02-1970	F	005.639.518-34
ID_000000261	ONESINA VICENZO SOUSA DORNELES FOGACA	INDINARA SOUSA SOUSA	26-04-1955	F	633.599.944-77
ID_000000262	PASCOALE CALDEIRA SALGADO NUNES	LEUDENIR GOMES DA CRUZ SALGADO	12-05-2018	F	939.594.187-10
ID_000000263	HANSEN ELENITO SILVA RIBEIRO MACHADO	LUMAIRA DINIS SILVA	28-10-2005	M	145.598.458-24
ID_000000264	SILVANDINO ASSUNCAO	SOLANEA SOUZA ASSUNCAO	15-05-2003	M	558.378.506-35
ID_000000265	EDELVINA LESSA	LERICA FERNANDES LESSA	17-04-1965	F	388.675.145-71
ID_000000266	JOSABETH PACHECO MARINHO PORTELA	MACILENI PIRES CAVALCANTI MARINHO	04-04-1983	F	755.662.263-02
ID_000000267	ARACHELE FERNANDES HILARIO MARTINS	FRANCILEUDA GONZAGA PARIS HILARIO	10-10-1940	F	294.624.123-83
ID_000000268	ATIELE DOS REIS PEREIRA ANTUNES	EVELAINE DANTAS VILELA PEREIRA	25-07-2019	F	032.059.594-34
ID_000000269	KENIDE DIAS DIAS CORDOBA	ELICLEIA TRINDADE PIRES DIAS	21-04-1965	M	598.909.491-48
ID_000000270	JOSSEAN DA ROCHA ALVIM	MARIAHELENA REZENDE LIMA DA ROCHA	08-04-1992	M	650.476.315-16
ID_000000271	RENILDES PINHEIRO ANDRADE PERALTA	JOSECLER MENEZES CONCEICAO ANDRADE	07-12-1911	F	521.234.766-17
ID_000000272	SANDRIGO ESPINOSA RIBEIRO	VANIZA PINHEIRO GOMES ESPINOSA	03-10-2017	M	415.260.537-56
ID_000000273	VANESA PAIVA GIL	OZINETE FARIAS DUARTE PAIVA	25-03-1935	F	331.718.455-80
ID_000000274	VANDICLEIDE KATSUME BARBOSA GOULART ALVIM	ZILTA CARDOSO BARBOSA	13-02-1983	F	626.798.292-04
ID_000000275	IRENILZA GOMES QUARTEIRA	IARIMA DA ROCHA NOVAIS GOMES	23-12-1941	F	384.744.446-83
ID_000000276	ITAILDE MONICLEIA COUTINHO MORGADO MARQUES	SALUSTRIANA ORNELAS COUTINHO	11-02-1939	F	411.759.839-26
ID_000000277	LECIMARA BRENDER SILVA GONCALVES VIDAL	JOVENILIA BONFIM SILVA	22-12-1909	F	405.649.344-88
ID_000000278	FLORIO FOGACA PORTO VARGAS	NICIENE DIAS AZAMBUJA PORTO	15-02-1990	M	866.757.391-40
ID_000000279	BRENDON RODRIGUES NEVES TAVARES	FLORESMAR ALBUQUERQUE DORNELES NEVES	19-03-1935	M	464.465.136-23
ID_000000280	KAIENE UBIRAJA COUTINHO MUNIZ QUARTEIRA	NETINHA SIQUEIRA COUTINHO	01-11-1930	F	441.922.422-30
ID_000000281	OLDAQUE VELOSO DIAS	ZERONI VIEIRA QUEIROZ VELOSO	20-07-1956	M	865.327.603-31
ID_000000282	ADEMIVAL VEIGA FERRARI MODESTO	MIGUELI DORNELES MODESTO FERRARI	26-06-2004	M	802.500.989-03
ID_000000283	EMILHO BRITO SALES ILHA	CLEDINEA APARICIO SALGADO SALES	13-08-1910	M	555.247.433-33
ID_000000284	MONIQUELE JOSILEIA ZAGANELLI FERREIRA BELEM	LUCENIRA FIGUEIROA ZAGANELLI	08-03-1957	F	410.392.514-04
ID_000000285	LARICIA LIBERALINA MACHADO SILVA TEIXEIRA	CLEUNEIDE SILVEIRA MACHADO	03-12-1984	F	712.396.411-09
ID_000000286	MEIRI HILARIO	PRICIANE RESENDE HILARIO	07-04-1950	F	197.297.184-07
ID_000000287	ANIRA ANDRADE	ALDREA HERNANDES ANDRADE	11-07-1985	F	434.059.087-87
ID_000000288	SOFI MORAES	CLEISIANE CUNHA MORAES	05-04-1930	F	955.797.188-61
ID_000000289	KOITI VASCONCELOS NOGUEIRA	CLEICE PADILHA FREITAS VASCONCELOS	08-09-2004	M	561.024.960-00
ID_000000290	SIDEIA TEIXEIRA	IRAMALIA REBELO TEIXEIRA	19-06-1966	F	934.662.950-92
ID_000000291	JORISMAR LICIMARA QUARESMA SILVA QUARESMA	INGRE FIGUEIREDO QUARESMA	17-04-1930	M	827.319.124-99
ID_000000292	ARIENI GUTERRES RAMIRES PARAISO	LILAZIA VASQUES FARIAS RAMIRES	11-07-1920	F	292.677.166-54
ID_000000293	ROBEILTON CAIQUE NOBREGA SOARES OLIVEIRA	JUVIANA PERALTA NOBREGA	09-10-1919	M	817.123.585-96
ID_000000294	UBIARA GOMES	WELINGTA FREITAS GOMES	25-02-1994	F	137.793.596-50
ID_000000295	RITIELI CORTES	SIMONO SILVA CORTES	11-01-1954	M	570.582.047-05
ID_000000296	GEORG EVANGELISTA NEVES AGUIAR	LUCEMEIRE DA COSTA BARROS NEVES	13-07-1913	M	809.115.526-34
ID_000000297	SADJA DINIS	GRACENIR MOURA DINIS	22-09-1916	F	343.410.425-99
ID_000000298	JUSCARA MARINHO FIGUEIROA	JACQUELANE FREITAS ZAGALO MARINHO	03-01-1957	F	269.696.150-65
ID_000000299	SILZA CORDOBA FERNANDES OLIVEIRA	MARINDALVA SOUSA SILVA FERNANDES	19-06-1994	F	575.241.276-50
ID_000000300	GERMINO CARDOSO	CICILIANE FURTADO CARDOSO	21-05-1968	M	459.828.384-03
ID_000000301	ENIRIO FIGUEIREDO	DEUSLIRA NOVAIS FIGUEIREDO	03-02-1914	M	274.441.553-72
ID_000000302	AUCELINA GLEICON VILELA REZENDE CALDEIRA	RIZEUDA GUIMARAES VILELA	16-09-2011	F	581.620.633-82
ID_000000303	GICIA PEREIRA FERRARI MONTEIRO	NILZALINA ZAGALO AGUIAR FERRARI	06-09-1913	F	899.529.896-01
ID_000000304	WALTRUDES PEREIRA CASTRO	CELMIRA ARRUDA ARRUDA PEREIRA	26-06-1950	F	231.545.951-63
ID_000000305	CARLITA PEREIRA ALEGRIA	LAURISE RIBEIRO MELO PEREIRA	01-06-1948	F	489.550.591-08
ID_000000306	MARIBALDO OLIVEIRA SILVA PEIXOTO	MONIELLY FARIAS DAS NEVES SILVA	01-12-1941	M	818.056.219-04
ID_000000307	PAULINIA ALEGRIA	CLEUDES FERNANDES ALEGRIA	14-04-1909	F	298.345.751-65
ID_000000308	JARILZA ESCOBAR DAMASIO BAPTISTA	ADEITA PAIVA FRUTUOSO DAMASIO	01-09-1966	F	874.040.075-18
ID_000000309	THALLYS GOULART PAIVA CARVALHO	ROSAUVA DA ROCHA MESQUITA PAIVA	24-03-1993	M	485.815.024-07
ID_000000310	DIJALMA GOULART	ANNUNZIATA BARBOSA GOULART	12-05-1907	F	666.035.760-23
ID_000000311	NERIVALDA ROCHA GOMES SILVA	LISLEY QUARESMA FERNANDES GOMES	07-09-1983	F	621.442.358-72
ID_000000312	ROSENEIDE FIGUEIREDO RAMOS FRUTUOSO	WALDEISE DA CUNHA GUEDES RAMOS	25-08-1980	F	510.514.094-03
ID_000000313	ORDANI VASQUES LOPES FOGACA	OTAISA VEIGA VASQUES LOPES	19-04-1909	M	809.602.744-13
ID_000000314	FAGNEY MONTEIRO FRUTUOSO ALENCASTRO	EDENA PERES BAPTISTA FRUTUOSO	24-12-1934	M	182.130.207-90
ID_000000315	ALDAIDES DONEZETE MONTEIRO ALMADA ARAGAO	NATALIANE ESTEVES MONTEIRO	27-03-1982	F	836.716.531-40
ID_000000316	ADEJARDO JUNIELLE MENDES VASCONCELOS LIMA	NATALIENE DA LUZ MENDES	13-07-1920	M	843.332.086-61
ID_000000317	EDINEIA MOREIRA	VIVIANIA JESUS MOREIRA	04-04-2005	F	006.040.194-08
ID_000000318	ORAVIO SILVEIRA CAPELO	NICKOLE MORAES ZAGANELLI SILVEIRA	02-02-1985	M	776.406.477-70
ID_000000319	JURANES COUTINHO SILVA MAIA	DORISANDRA ILHA REBELO SILVA	27-05-1988	M	155.178.837-37
ID_000000320	NADIRIA MAIA PEREIRA	ALVARINA CAMACHO DORNELES MAIA	18-05-1942	F	531.815.897-80
ID_000000321	NESI CARDOSO BELCHIOR CARVALHO	VANESSI CARVALHO SILVA BELCHIOR	25-05-1945	F	713.872.199-44
ID_000000322	GILVASIO VLADIANA MARINHO MARTINS GONCALVES	ELIZEBETH DRUMOND MARINHO	17-08-1970	M	029.215.672-37
ID_000000323	ALCIDO SOUZA	CLICIA PERALTA SOUZA	14-05-1938	M	448.844.603-59
ID_000000324	CLEURI GASPAR MUNIZ GARCIA	SOLEANE SOUZA XAVIER MUNIZ	15-03-1961	F	659.499.884-69
ID_000000325	LEDIANI MEDEIROS SUBTIL	AREDA VASCONCELOS SILVA MEDEIROS	22-03-1980	F	823.534.146-80
ID_000000326	GERACILDA JUDENOR SILVA PIMENTA INFANTE	RAMILA GUIMARAES SILVA	16-12-1902	F	862.360.439-30
ID_000000327	VANISON OLDACK MARTINS DANTAS GUEDES	DEA CAVALCANTI MARTINS	10-07-1915	M	256.382.686-18
ID_000000328	IVERSON DAILANA CURADO JAQUES JAQUES	IBERIA SOUSA CURADO	12-08-1919	M	504.465.440-00
ID_000000329	LOSIVALDO MARILUA VARGAS SALES SOUZA	SERLENI SALES VARGAS	04-10-1971	M	026.776.827-37
ID_000000330	LORIE SOUSA DA COSTA	LUDOVICA DOS REIS SILVA SOUSA	10-12-1949	F	121.717.987-93
ID_000000331	WIVINA FREITAS MORAES BARRETO	RARINE TRINDADE CARDOSO MORAES	15-05-1917	F	702.365.949-82
ID_000000332	VERUZIA SOUSA	IZANIA DA CONCEICAO SOUSA	18-01-1950	F	067.945.199-41
ID_000000333	ENGRID SILVA SOUSA NEVES	DACINETE NOBREGA BOAVENTURA SOUSA	22-07-1945	F	898.259.226-13
ID_000000334	CLEIVITON SOUSA VASCONCELOS DOMINGUES	JUCINALDA GARCIA CAMPOS VASCONCELOS	13-08-1927	M	442.881.224-81
ID_000000335	LAUDEJANE SALGADO GOIS XISCO	JADIRENE VIEIRA RIBEIRO GOIS	27-03-1936	F	632.225.454-56
ID_000000336	NERCO RIBEIRO SILVA TORRES	NAITA CHAVES GENTIL SILVA	08-01-1950	M	668.974.062-52
ID_000000337	BENICIA BERNARDES	RUBENICE MACIEL BERNARDES	19-11-1986	F	367.201.645-46
ID_000000338	EDINASIO SOUZA PAIVA VIEIRA	VAGUINA SOUZA TAVEIRA PAIVA	17-09-1973	M	113.373.123-63
ID_000000339	VANGIVALDO SOUSA CAVALCANTI	JOSENIR SIQUEIRA FERREIRA SOUSA	03-01-1988	M	851.865.388-68
ID_000000340	JUCIE SOUSA DOS REIS	GISELEA PARIS BEIRAMAR SOUSA	20-06-1947	M	851.293.663-01
ID_000000341	JOSEANIO ALEGRIA	SAMANDRA JESUS ALEGRIA	18-10-1972	M	626.758.525-54
ID_000000342	LUVIA MESQUITA DORNELES	ALDAIRA JAQUES SOUSA MESQUITA	12-01-1917	F	950.121.122-37
ID_000000343	LAURICLEIA JESUS SALGADO GOUVEIA	CONCEICAO SILVA ROCHA SALGADO	08-06-2002	F	249.704.068-04
ID_000000344	JORGINEI GIL	EVELINI ALBUQUERQUE GIL	06-02-2013	M	765.622.788-13
ID_000000345	VERIANO ZENAURA FERNANDES BOTELHO SALAZAR	LEOCLEIDE ORNELAS FERNANDES	10-11-1949	M	526.352.322-02
ID_000000346	VANDECLEIDE FERRARI CORTES	NERITA COSTA VASCONCELOS FERRARI	26-05-1936	F	754.089.682-51
ID_000000347	JOANDSON ZAGALO FREITAS BRITO	IUNA VILELA SILVA FREITAS	19-05-1970	M	849.814.031-51
ID_000000348	VALECIA BARROSO CAMILO NOGUEIRA MENDES	ELCIA QUEIROZ CAMILO	17-04-2016	F	540.845.507-60
ID_000000349	WALLAS VILARINO FOGACA MENDES MARQUES	JADRIANA GOULART FOGACA	12-12-1965	M	158.920.599-52
ID_000000350	GLEUCI SOUSA ARRUDA CARVALHO	GISLANEA SOARES CORDOBA ARRUDA	19-11-1957	F	511.061.112-22
ID_000000351	JOSEDE TAVEIRA ALENCASTRO DOMINGUES	DULCILENE MALDONADO DA MOTA ALENCASTRO	22-12-1934	M	827.847.903-80
ID_000000352	VANILZA LEIRIA FIGUEIREDO	DILETA VIEIRA GOMES LEIRIA	28-11-2004	F	980.739.754-59
ID_000000353	JUDICLEIDE DA CRUZ PARIS	MANUZA VIEIRA CASTRO DA CRUZ	25-07-1906	F	796.973.884-23
ID_000000354	ONITA DELIS GENTIL PADILHA EVANGELISTA	GISMEIRE RIBEIRO GENTIL	18-12-1950	F	625.001.112-96
ID_000000355	ELIANTO TIELE SILVA APARICIO DA MOTA	TALIANI AZAMBUJA SILVA	02-09-1950	M	256.112.277-83
ID_000000356	AGEO ANTUNES GERALDES	IREUZA NOVAES SOUZA ANTUNES	09-03-1902	M	380.783.475-37
ID_000000357	ERMINIA PEREIRA	WIDJA CAMILO PEREIRA	15-01-1991	F	099.978.339-45
ID_000000358	ZANATA MALDONADO SALES	VERANILDES FARIAS SOUSA MALDONADO	19-07-1928	M	358.069.498-77
ID_000000359	ISMERALDA DINIS SILVA APARICIO	LERICE CASTRO GOUVEIA SILVA	24-12-1995	F	899.432.498-46
ID_000000360	ALMERINA FERNANDES	LILIEN ASSIS FERNANDES	09-01-1975	F	836.488.857-90
ID_000000361	HORTENSIA SILVA ESCOBAR IBRAHIM	ROSAMIR OURIQUE BARBOSA ESCOBAR	25-07-1911	F	272.158.948-27
ID_000000362	HEBET NEVAL MOURA FREITAS MORAES	EDURADA LEIRIA MOURA	28-12-1968	M	147.048.688-18
ID_000000363	ELINARA DA MOTA	GLAUCIONE VIEIRA DA MOTA	18-08-1967	F	558.729.332-74
ID_000000364	DONATELLA MENELEU SOUSA DA LUZ ALVES	VANILMA INFANTE SOUSA	07-07-1907	F	309.868.621-93
ID_000000365	LAURIDE NOBREGA CALDEIRA	CORINTA SOUSA TELES NOBREGA	10-02-1927	F	221.816.543-01
ID_000000366	MARINELSON SAMPAIO GERALDES	ELIZABELE DOS REIS RAMOS SAMPAIO	07-10-1940	M	651.836.565-09
ID_000000367	TELVIO ALVES	EUCLISIA CORDOBA ALVES	15-09-2003	M	985.321.296-09
ID_000000368	VALDEMARIA GLEICA GODINHO INFANTE MORAIS	ANIELEN DA PAZ GODINHO	15-12-1923	F	080.766.845-10
ID_000000369	SUZILENE SOUZA CAPELO SOUZA	TARCILLA NASCIMENTO MARTINS CAPELO	18-12-2008	F	683.291.786-41
ID_000000370	GENECIAS GERALDES PERALTA TAVEIRA	DALVONETE MENDES RIBEIRO PERALTA	24-12-2015	M	407.172.203-70
ID_000000371	TAUNAY MARTINS MARINHO	RESANGELA VIDAL PERES MARTINS	22-02-1932	M	174.164.892-02
ID_000000372	ARISIA SANCHES MACIEL	VERITAS DAVILA CAMACHO SANCHES	20-05-1967	F	883.819.925-67
ID_000000373	JUN GOMES FRUTUOSO	GILDEIA DORNELES TAVEIRA GOMES	08-08-1992	M	670.950.508-13
ID_000000374	JOELIAS VANDELICE PINTO VIEIRA SIQUEIRA	EDILMARA MONTEIRO PINTO	18-08-1941	F	732.509.764-66
ID_000000375	GINAMARA VARELA SAMPAIO	CARMINDA ZAGANELLI HIPOLITO VARELA	18-05-1904	F	634.881.911-68
ID_000000376	ADRIAN VACIR PEREIRA TRINDADE MENDES	ANAIAN ESTEVES PEREIRA	27-05-2002	M	153.530.480-40
ID_000000377	DEUCI FERREIRA PIRES	EDENILDA RIBEIRO SUBTIL FERREIRA	03-02-1959	F	019.325.269-43
ID_000000378	ARLENILDE NEVES	ANAISE FERRARI NEVES	17-01-1920	F	503.859.872-26
ID_000000379	RISALVO GOULART	BERTILDES ARAGAO GOULART	25-04-1957	M	952.866.494-67
ID_000000380	MACILDE FRUTUOSO GASPAR TRINDADE	NALZIRA VELOSO PILAR GASPAR	15-12-1910	F	217.938.793-89
ID_000000381	SUZELAINE NASCIMENTO RODRIGUES	EGLI MONTEIRO RAMOS NASCIMENTO	25-07-1957	F	085.078.043-81
ID_000000382	ODMIR SAMPAIO RAMOS	CRISLEIANE RODRIGUES GOMES SAMPAIO	28-04-1906	M	501.590.232-89
ID_000000383	OSIRIS DIAS	EDILUCIA SUBTIL DIAS	18-03-1910	M	757.788.150-34
ID_000000384	NILDON BELCHIOR	EDILES SOUSA BELCHIOR	20-05-1991	M	605.829.966-78
ID_000000385	JUCEANE JAQUES SANTANA	LEOZILDA JESUS SOUZA JAQUES	08-12-1923	F	769.585.906-00
ID_000000386	PALEMA APOLINARIO AMORIM CASTRO	KIMBERLY CUNHA CASTRO AMORIM	22-02-1938	F	975.537.019-63
ID_000000387	REGIVANIA ORNELAS CAPELO CASTRO	VALCIRENE CARDOSO FARIAS CAPELO	02-08-2015	F	882.178.029-55
ID_000000388	ALAFI JORDAO FLORES FREITAS	SAYOMARA NOGUEIRA VELOSO FLORES	12-02-1934	M	086.741.918-00
ID_000000389	PERICO IVANDIRA ZAGANELLI FERNANDES CONCEICAO	JANECILDA GALVAO ZAGANELLI	06-10-2009	M	714.113.820-05
ID_000000390	GRIMALDI FRUTUOSO ARAGAO BONFIM	ODEILDA SALES PEIXOTO ARAGAO	04-04-1991	M	749.386.535-32
ID_000000391	MAIRIM TEIXEIRA ZAGANELLI	BRANDA PARAISO GUEDES TEIXEIRA	04-05-1927	F	957.564.745-95
ID_000000392	GESSINETE ALMERON XISCO FERNANDES SALES	KAYLLANE PARIS XISCO	28-08-2006	F	195.612.596-56
ID_000000393	DAIONE ENOE DINIS PEREIRA CAMACHO	LALESCA MELO DINIS	25-11-1988	F	683.914.075-00
ID_000000394	BETSY VIEIRA	FRANCILANDIA MESQUITA VIEIRA	16-01-1916	F	319.268.300-75
ID_000000395	PAULUS MACHADO	ROBERVALDA MELLO MACHADO	06-05-1919	M	346.441.016-13
ID_000000396	ENEMAR DA ROSA	FLIVIA VIEIRA DA ROSA	18-06-1992	M	286.850.729-80
ID_000000397	VANDERNILDO DAMASIO	CIMARA FERREIRA DAMASIO	13-04-1931	M	593.454.414-41
ID_000000398	TELVIRA TORRES VELOSO	RAELLEN FREITAS VARELA TORRES	11-09-1939	F	751.298.011-64
ID_000000399	JOSINEA SILVA PARAISO MONTEIRO	ROSILEUDE CAMPOS SILVA PARAISO	03-04-1931	F	436.831.379-83
ID_000000400	NORIANE FREITAS	TANE BARBOSA FREITAS	21-04-1905	F	241.065.693-53
ID_000000401	RIGOMAR PARAISO XAVIER	ALZIELE CASTRO GOMES PARAISO	23-06-1915	M	065.053.554-56
ID_000000402	ISTENIO ESTEVES	MARCINALVA NOVAIS ESTEVES	02-02-1950	M	294.316.251-56
ID_000000403	LUDUVICO CAMILO ROCHA SALGUEIRO	ODIRLENE SOUZA SOUSA ROCHA	03-03-1901	M	286.398.994-44
ID_000000404	JODMAR SILVA REBELO	CLEUZITA MESQUITA BERNARDES SILVA	17-06-1957	M	321.316.590-59
ID_000000405	DREISON DEJARDE ZAGALO RAMIRES CALIXTO	ARAGUACI NOGUEIRA ZAGALO	14-02-1966	M	504.168.813-35
ID_000000406	MARACELIA SALAZAR	DIGINA NUNES SALAZAR	19-07-2004	F	365.022.364-30
ID_000000407	WALDEMILSON MENDES SOUZA SALGUEIRO	MIRELLE VELOSO TAVARES SOUZA	04-09-1933	M	951.613.035-65
ID_000000408	NADJAN SALAZAR MOREIRA FERRARI	IVADETE ALENCASTRO MAIA MOREIRA	18-05-1978	F	378.127.392-01
ID_000000409	NAZARITA CLAUDEOMAR DINIS DOMINGUES GERALDES	LUNGUINHA PACHECO DINIS	25-06-1983	F	310.820.335-53
ID_000000410	LUZIELE DORAIDE GONCALVES VASQUES REZENDE	BELISSA BRITES GONCALVES	10-09-1995	F	302.208.693-83
ID_000000411	DEMOGENES FREITAS NOVAES	JOSSELINA DA CRUZ BONFIM FREITAS	24-06-1928	M	986.401.462-50
ID_000000412	AQUISA MELO LEIRIA	ERIANA PERALTA NEVES MELO	26-09-1925	F	706.790.453-68
ID_000000413	IMEUDA SILVA IBRAHIM SILVEIRA	EDILEA DAMASIO GOIS IBRAHIM	10-07-1964	F	672.923.615-95
ID_000000414	CLEONIRA GIL FLORES	HERMOSA GERALDES FERNANDES GIL	18-02-1901	F	326.455.374-05
ID_000000415	JUVIANA DA COSTA COSTA	AYSLLA CARVALHO PORTO DA COSTA	01-10-1941	F	647.306.598-99
ID_000000416	EVANILTON LESSA LEIRIA	ELEUTERIA VEIGA VIEIRA LESSA	19-08-1916	M	744.009.555-32
ID_000000417	MUSA PACHECO GUEDES	CELEIDA VASCONCELOS FRUTUOSO PACHECO	22-01-1962	F	614.070.304-26
ID_000000418	DJANICE OURIQUE PILAR VIEIRA	DARINA ARAUJO QUEIROZ PILAR	17-07-1978	F	615.027.603-12
ID_000000419	IVALDETE SALAZAR EVANGELISTA	LUCIANETE ALBUQUERQUE DAS NEVES SALAZAR	25-09-1966	F	259.586.896-90
ID_000000420	ANDALUZA MENEZES CAMACHO	EDIVANGELA GUIMARAES CAVALCANTI MENEZES	21-03-1943	F	605.095.712-63
ID_000000421	ENOKE GODINHO MARINHO TRINDADE	GLENIA MODESTO ALVIM MARINHO	25-04-2015	M	995.539.625-30
ID_000000422	JARDELIANE CLAUDEILDA DA CRUZ APOLINARIO GIL	VALDIZETE SILVA DA CRUZ	15-05-2010	F	072.742.962-05
ID_000000423	MARGARETH GOMES CAETANO SUBTIL	LUZIEMA MARINHO CASTRO CAETANO	21-03-1917	F	243.560.998-18
ID_000000424	FABIAN GOULART TEIXEIRA VIDAL	MOAMA OLIVEIRA ASSUNCAO TEIXEIRA	09-03-2011	M	351.493.506-80
